FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID,action_taken_date,company_name_clean,is_warning_letter,is_device,is_drug,is_biologic,is_medtech_pharma
3007949340,Randek l-warez,-,Russia,Drugs,11/17/2009,Warning Letter,84146,2009-11-17,Randek l-warez,True,False,True,False,True
3007950206,"Krest Holdings, Panama S.A.",-,Panama,Drugs,11/17/2009,Warning Letter,84150,2009-11-17,"Krest Holdings, Panama S.A.",True,False,True,False,True
3007950265,Orion Star & Associates Inc.,-,Hong Kong,Drugs,11/17/2009,Warning Letter,84154,2009-11-17,Orion Star & Associates Inc.,True,False,True,False,True
3007963453,Pro West Marketing Ltd.,-,British Virgin Islands,Drugs,11/17/2009,Warning Letter,84155,2009-11-17,Pro West Marketing Ltd.,True,False,True,False,True
3007950215,"BUZZ, LLC",Texas,United States,Drugs,11/17/2009,Warning Letter,84156,2009-11-17,"BUZZ, LLC",True,False,True,False,True
3007950219,"Hunter, D",-,South Africa,Drugs,11/17/2009,Warning Letter,84157,2009-11-17,"Hunter, D",True,False,True,False,True
3007950257,"Mendez, Dr Antonio",-,India,Drugs,11/17/2009,Warning Letter,84158,2009-11-17,"Mendez, Dr Antonio",True,False,True,False,True
3007949023,Lorna Hillier,-,Australia,Drugs,11/17/2009,Warning Letter,84164,2009-11-17,Lorna Hillier,True,False,True,False,True
3007950212,"akyuz, sinan",-,Turkey,Drugs,11/17/2009,Warning Letter,84424,2009-11-17,"akyuz, sinan",True,False,True,False,True
3007969419,"Chris Walsh, c/o Dynadot Privacy",California,United States,Drugs,11/17/2009,Warning Letter,84545,2009-11-17,"Chris Walsh, c/o Dynadot Privacy",True,False,True,False,True
3000203759,Old Carolina Farm,Maryland,United States,Veterinary,11/16/2009,Injunction,124,2009-11-16,Old Carolina Farm,False,False,False,False,False
3007315397,"Graham Farms, Inc.",Florida,United States,Veterinary,11/16/2009,Warning Letter,67483,2009-11-16,"Graham Farms, Inc.",True,False,False,False,False
3007422168,"Zyber Pharmaceuticals, Inc",Louisiana,United States,Drugs,11/13/2009,Warning Letter,71123,2009-11-13,"Zyber Pharmaceuticals, Inc",True,False,True,False,True
3007566601,Allegis Pharmaceutical LLC,Mississippi,United States,Drugs,11/13/2009,Warning Letter,71143,2009-11-13,Allegis Pharmaceutical LLC,True,False,True,False,True
3006389494,"Chiesi USA, Inc.",North Carolina,United States,Drugs,11/13/2009,Warning Letter,71145,2009-11-13,"Chiesi USA, Inc.",True,False,True,False,True
3004378614,Victory Pharma Inc,California,United States,Drugs,11/13/2009,Warning Letter,71146,2009-11-13,Victory Pharma Inc,True,False,True,False,True
3008163531,"Exeltis USA, Inc.",New Jersey,United States,Drugs,11/13/2009,Warning Letter,71148,2009-11-13,"Exeltis USA, Inc.",True,False,True,False,True
3007925831,Accentia BioPharmaceuticals,Florida,United States,Drugs,11/13/2009,Warning Letter,71149,2009-11-13,Accentia BioPharmaceuticals,True,False,True,False,True
3005966786,"Larken Laboratories, Inc.",Mississippi,United States,Drugs,11/13/2009,Warning Letter,71163,2009-11-13,"Larken Laboratories, Inc.",True,False,True,False,True
3005966693,"WraSer Pharmaceuticals, LLC",Mississippi,United States,Drugs,11/13/2009,Warning Letter,71164,2009-11-13,"WraSer Pharmaceuticals, LLC",True,False,True,False,True
3008740393,Tiber Pharmaceuticals LLC,Georgia,United States,Drugs,11/13/2009,Warning Letter,71183,2009-11-13,Tiber Pharmaceuticals LLC,True,False,True,False,True
1000138648,Kerry Inc.,Texas,United States,Food/Cosmetics,11/13/2009,Warning Letter,77908,2009-11-13,Kerry Inc.,True,False,False,False,False
1621458,CFS Operating Limited,Texas,United States,Food/Cosmetics,11/12/2009,Warning Letter,74566,2009-11-12,CFS Operating Limited,True,False,False,False,False
1000120182,TM Seafood LLC,New York,United States,Food/Cosmetics,11/12/2009,Warning Letter,75944,2009-11-12,TM Seafood LLC,True,False,False,False,False
3003140045,"Fairfax EggBank, Inc.",Virginia,United States,Devices,11/10/2009,Warning Letter,76744,2009-11-10,"Fairfax EggBank, Inc.",True,True,False,False,True
3003988575,"Arnold Tuber Industries, LLC",New York,United States,Devices,11/10/2009,Warning Letter,77085,2009-11-10,"Arnold Tuber Industries, LLC",True,True,False,False,True
3007468394,Teneo IRB,Oklahoma,United States,Biologics,11/10/2009,Warning Letter,79064,2009-11-10,Teneo IRB,True,False,False,True,True
3005852759,"Scotty's, Inc.",Michigan,United States,Food/Cosmetics,11/09/2009,Warning Letter,76984,2009-11-09,"Scotty's, Inc.",True,False,False,False,False
3004709970,Provident Pharmaceuticals Llc,Colorado,United States,Drugs,11/09/2009,Warning Letter,77225,2009-11-09,Provident Pharmaceuticals Llc,True,False,True,False,True
3007276126,"Anthony V Dallas, Jr, MD",Tennessee,United States,Drugs,11/09/2009,Warning Letter,80264,2009-11-09,"Anthony V Dallas, Jr, MD",True,False,True,False,True
2182208,"Medtronic, Inc.",Minnesota,United States,Devices,11/09/2009,Warning Letter,83764,2009-11-09,"Medtronic, Inc.",True,True,False,False,True
3023294,D.N.A. LAB INC.,Washington,United States,Drugs,11/06/2009,Warning Letter,47120,2009-11-06,D.N.A. LAB INC.,True,False,True,False,True
3001239064,"Valley Harvest Nut Co., Inc.",California,United States,Food/Cosmetics,11/06/2009,Warning Letter,76286,2009-11-06,"Valley Harvest Nut Co., Inc.",True,False,False,False,False
3009413786,"Eisai, Inc.",New Jersey,United States,Drugs,11/06/2009,Warning Letter,78105,2009-11-06,"Eisai, Inc.",True,False,True,False,True
3008159616,Sorin CRM SAS,-,France,Devices,11/06/2009,Warning Letter,81984,2009-11-06,Sorin CRM SAS,True,True,False,False,True
3004416862,"Shire Pharmaceuticals, LLC",Pennsylvania,United States,Drugs,11/05/2009,Warning Letter,78265,2009-11-05,"Shire Pharmaceuticals, LLC",True,False,True,False,True
3002396099,Solar Farms Inc.,South Carolina,United States,Food/Cosmetics,11/04/2009,Warning Letter,76805,2009-11-04,Solar Farms Inc.,True,False,False,False,False
3007906682,Silver Soft for Skin,Utah,United States,Drugs,11/04/2009,Warning Letter,82144,2009-11-04,Silver Soft for Skin,True,False,True,False,True
2915995,Rel'S Foods,California,United States,Food/Cosmetics,11/03/2009,Injunction,126,2009-11-03,Rel'S Foods,False,False,False,False,False
3002997024,"Culinaire, Incorporated",Colorado,United States,Food/Cosmetics,11/03/2009,Warning Letter,74904,2009-11-03,"Culinaire, Incorporated",True,False,False,False,False
1050138,"Gibson Laboratories, LLC",Kentucky,United States,Devices,11/03/2009,Warning Letter,82745,2009-11-03,"Gibson Laboratories, LLC",True,True,False,False,True
3007671051,"Daniel A. Potter, M.D.",California,United States,Devices,11/02/2009,Warning Letter,77585,2009-11-02,"Daniel A. Potter, M.D.",True,True,False,False,True
3006330599,Lasik Plus Houston,Texas,United States,Devices,10/30/2009,Warning Letter,81425,2009-10-30,Lasik Plus Houston,True,True,False,False,True
3007749366,LasikPlus Vision Center,Texas,United States,Devices,10/30/2009,Warning Letter,81426,2009-10-30,LasikPlus Vision Center,True,True,False,False,True
3006002540,LCA Vision Inc,Kentucky,United States,Devices,10/30/2009,Warning Letter,81427,2009-10-30,LCA Vision Inc,True,True,False,False,True
3005645734,Tlc Eye Care - Lansing,Michigan,United States,Devices,10/30/2009,Warning Letter,81444,2009-10-30,Tlc Eye Care - Lansing,True,True,False,False,True
1523399,The Procter & Gamble Co.,Ohio,United States,Drugs,10/29/2009,Warning Letter,64244,2009-10-29,The Procter & Gamble Co.,True,False,True,False,True
3004278802,"Seoul Shik Poom, Inc.",New Jersey,United States,Food/Cosmetics,10/29/2009,Warning Letter,74043,2009-10-29,"Seoul Shik Poom, Inc.",True,False,False,False,False
1000165971,MicroPort CRM S.r.l.,-,Italy,Devices,10/29/2009,Warning Letter,81564,2009-10-29,MicroPort CRM S.r.l.,True,True,False,False,True
1281983,Stew Leonard's Holdings LLC,Connecticut,United States,Food/Cosmetics,10/28/2009,Warning Letter,71203,2009-10-28,Stew Leonard's Holdings LLC,True,False,False,False,False
3002468250,Double V LLC,Idaho,United States,Veterinary,10/28/2009,Warning Letter,75045,2009-10-28,Double V LLC,True,False,False,False,False
1383571,"Perry Veterinary Clinic, PLLC",New York,United States,Veterinary,10/28/2009,Warning Letter,75548,2009-10-28,"Perry Veterinary Clinic, PLLC",True,False,False,False,False
3003912980,"Juices International, Inc.",New York,United States,Food/Cosmetics,10/28/2009,Warning Letter,75744,2009-10-28,"Juices International, Inc.",True,False,False,False,False
3004425530,Almi Group Inc,Pennsylvania,United States,Food/Cosmetics,10/28/2009,Warning Letter,76089,2009-10-28,Almi Group Inc,True,False,False,False,False
3004114003,American Lifestyle,New York,United States,Food/Cosmetics,10/27/2009,Warning Letter,73203,2009-10-27,American Lifestyle,True,False,False,False,False
1824226,King Systems Corp.,Indiana,United States,Devices,10/26/2009,Warning Letter,70883,2009-10-26,King Systems Corp.,True,True,False,False,True
3006946854,Thermography and Breast Health Center of Idaho,Idaho,United States,Devices,10/26/2009,Warning Letter,72584,2009-10-26,Thermography and Breast Health Center of Idaho,True,True,False,False,True
3007410953,"Charles R. McKay, MD",California,United States,Drugs,10/23/2009,Warning Letter,72024,2009-10-23,"Charles R. McKay, MD",True,False,True,False,True
3002808164,Zach System S.A.,-,France,Drugs,10/23/2009,Warning Letter,82024,2009-10-23,Zach System S.A.,True,False,True,False,True
3004553437,"Endotec, Inc.",California,United States,Devices,10/22/2009,Warning Letter,75024,2009-10-22,"Endotec, Inc.",True,True,False,False,True
3002702031,V-7 Jersey Dairy,Texas,United States,Veterinary,10/22/2009,Warning Letter,76070,2009-10-22,V-7 Jersey Dairy,True,False,False,False,False
1950520,Silver Spur Feeders LLC,Nebraska,United States,Veterinary,10/21/2009,Warning Letter,68163,2009-10-21,Silver Spur Feeders LLC,True,False,False,False,False
3007577172,MI Hope Inc. dba Center for Complex Infectious Diseases IRB,California,United States,Drugs,10/19/2009,Warning Letter,77604,2009-10-19,MI Hope Inc. dba Center for Complex Infectious Diseases IRB,True,False,True,False,True
1000524553,One Ocean Sea Products,Washington,United States,Food/Cosmetics,10/16/2009,Warning Letter,69603,2009-10-16,One Ocean Sea Products,True,False,False,False,False
2121840,"Schwarz Fish Company, Inc.",Wisconsin,United States,Food/Cosmetics,10/16/2009,Warning Letter,73364,2009-10-16,"Schwarz Fish Company, Inc.",True,False,False,False,False
3004079165,"Pacific American Fish Co., Inc.",Massachusetts,United States,Food/Cosmetics,10/16/2009,Warning Letter,75447,2009-10-16,"Pacific American Fish Co., Inc.",True,False,False,False,False
3004412517,"Okami, Incorporated",Colorado,United States,Food/Cosmetics,10/16/2009,Warning Letter,77008,2009-10-16,"Okami, Incorporated",True,False,False,False,False
3005839441,"Cold Cut Kruise, LLC DBA GOURMET KRUISE",Michigan,United States,Food/Cosmetics,10/15/2009,Warning Letter,76544,2009-10-15,"Cold Cut Kruise, LLC DBA GOURMET KRUISE",True,False,False,False,False
3005608397,Weil Lifestyle Llc,Arizona,United States,Food/Cosmetics,10/15/2009,Warning Letter,76564,2009-10-15,Weil Lifestyle Llc,True,False,False,False,False
1000136746,"Seaport Fish Company, LLC",New Hampshire,United States,Food/Cosmetics,10/14/2009,Warning Letter,76944,2009-10-14,"Seaport Fish Company, LLC",True,False,False,False,False
3004000057,J & V Dairy LLC,Idaho,United States,Veterinary,10/14/2009,Warning Letter,80084,2009-10-14,J & V Dairy LLC,True,False,False,False,False
1000519451,"Myojo USA, Inc.",California,United States,Food/Cosmetics,10/13/2009,Warning Letter,69243,2009-10-13,"Myojo USA, Inc.",True,False,False,False,False
3003851100,Genus Lifesciences Inc.,Pennsylvania,United States,Drugs,10/13/2009,Warning Letter,72043,2009-10-13,Genus Lifesciences Inc.,True,False,True,False,True
3005658103,"Glenmark Pharmaceuticals Inc., USA",New Jersey,United States,Drugs,10/13/2009,Warning Letter,72063,2009-10-13,"Glenmark Pharmaceuticals Inc., USA",True,False,True,False,True
3005890568,Cerovene Inc.,New York,United States,Drugs,10/13/2009,Warning Letter,72223,2009-10-13,Cerovene Inc.,True,False,True,False,True
3006193930,"DAVA Pharmaceuticals, Inc.",New Jersey,United States,Drugs,10/13/2009,Warning Letter,72243,2009-10-13,"DAVA Pharmaceuticals, Inc.",True,False,True,False,True
1000513707,"Dynamic Surgery, Inc.",Rhode Island,United States,Devices,10/13/2009,Warning Letter,79446,2009-10-13,"Dynamic Surgery, Inc.",True,True,False,False,True
3004726911,"G3 Medical, Inc. dba G3 Packaging",North Carolina,United States,Devices,10/13/2009,Warning Letter,80284,2009-10-13,"G3 Medical, Inc. dba G3 Packaging",True,True,False,False,True
1000510831,Smith County Memorial Hospital,Kansas,United States,Devices,10/13/2009,Warning Letter,82804,2009-10-13,Smith County Memorial Hospital,True,True,False,False,True
1218950,"Philips North  America, LLC",Massachusetts,United States,Devices,10/09/2009,Warning Letter,63483,2009-10-09,"Philips North America, LLC",True,True,False,False,True
