company_name_fda,normalized_name,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types
AM Rx,AM RX,1,2026-06-09,2026-06-09,False,True,False,True,Drugs
AMBI Enterprises LLC,AMBI ENTERPRISES,1,2022-04-13,2022-04-13,False,True,False,True,Drugs
"AMCO International Manufacturing & Design, Inc.",AMCO MANUFACTURING AND DESIGN,1,2024-06-25,2024-06-25,True,False,False,True,Devices
"AMKS TIME RELEASE LAB, LLC",AMKS TIME RELEASE LAB,1,2014-04-10,2014-04-10,False,True,False,True,Drugs
AMMAN PHARMACEUTICAL INDUSTRIES,AMMAN PHARMACEUTICAL INDUSTRIES,2,2023-09-11,2024-02-14,False,True,False,True,Drugs
"AMMD Labs, LLC",AMMD LABS,1,2019-05-07,2019-05-07,False,True,False,True,Drugs
AMMONIASPORT LLC,AMMONIASPORT,1,2024-03-18,2024-03-18,False,True,False,True,Drugs
AMO Uppsala AB,AMO UPPSALA,1,2009-09-18,2009-09-18,True,False,False,True,Devices
AMPAC Fine Chemicals LLC,AMPAC FINE CHEMICALS,1,2010-07-01,2010-07-01,False,True,False,True,Drugs
AMRUTAM LIFE CARE PRIVATE LIMITED,AMRUTAM LIFE CARE PRIVATE,1,2013-07-15,2013-07-15,False,True,False,True,Drugs
AMS Packaging Inc,AMS PACKAGING,1,2022-09-01,2022-09-01,False,True,False,True,Drugs
AN Co. Ltd.,AN,1,2017-12-20,2017-12-20,False,True,False,True,Drugs
"ANJI ZHENGBANG MEDICAL INSTRUMENT CO, LTD",ANJI ZHENGBANG MEDICAL INSTRUMENT,1,2013-09-19,2013-09-19,True,False,False,True,Devices
"ANTHONY TRINH, 123Herbals LLC",ANTHONY TRINH 123HERBALS,1,2025-11-13,2025-11-13,False,True,False,True,Drugs
"ANTHOS GROUP, INC, THE",ANTHOS,1,2022-11-04,2022-11-04,False,True,False,True,Drugs
APARNA ORGANICS LIMITED,APARNA ORGANICS,1,2019-08-08,2019-08-08,False,True,False,True,Drugs
"APC Medical, Ltd.",APC MEDICAL,1,2011-12-23,2011-12-23,True,False,False,True,Devices
"APK Technology Co., Ltd.",APK TECHNOLOGY,1,2015-08-06,2015-08-06,True,False,False,True,Devices
"AQ USA, Inc.",AQ,1,2026-02-12,2026-02-12,False,True,False,True,Drugs
AQUAVIT PHARMACEUTICALS INC,AQUAVIT PHARMACEUTICALS,1,2021-06-17,2021-06-17,True,False,False,True,Devices
"ARB Medical, LLC",ARB MEDICAL,1,2015-12-22,2015-12-22,True,False,False,True,Devices
"ARC Medical Supplies (Beijing) Co., Ltd.",ARC MEDICAL SUPPLIES BEIJING,1,2011-03-28,2011-03-28,True,False,False,True,Devices
ARCO GLOBUS TRADING LLC,ARCO GLOBUS TRADING,1,2017-12-11,2017-12-11,False,True,False,True,Drugs
ARCO2014,ARCO2014,1,2016-08-03,2016-08-03,True,False,False,True,Devices
"ARG Laboratories, Inc.",ARG LABORATORIES,1,2024-06-11,2024-06-11,False,True,False,True,Drugs
ARJ Infusion Services Inc,ARJ INFUSION SERVICES,1,2018-04-02,2018-04-02,False,True,False,True,Drugs
"ARJ Medical, Inc. / Gulf Coast Scientific Inc",ARJ MEDICAL GULF COAST SCIENTIFIC,1,2010-07-16,2010-07-16,True,False,False,True,Devices
"ARKRAY Factory, Inc.",ARKRAY FACTORY,2,2009-06-15,2015-03-04,True,False,False,True,Devices
"ARKRAY, Inc.",ARKRAY,1,2015-04-10,2015-04-10,True,False,False,True,Devices
ARSCI INC.,ARSCI,1,2015-03-09,2015-03-09,True,False,False,True,Devices
ARxIUM Inc.,ARXIUM,1,2012-02-08,2012-02-08,True,False,False,True,Devices
ASA Universal Inc. dba: Sonage,ASA UNIVERSAL SONAGE,1,2018-11-27,2018-11-27,False,True,False,True,Drugs
"ASEPTIKITS, LLC",ASEPTIKITS,1,2026-06-04,2026-06-04,True,False,False,True,Devices
"ASI Medical, Inc.",ASI MEDICAL,2,2011-04-20,2013-01-23,True,False,False,True,Devices
ASN-LABS,ASN LABS,1,2025-09-09,2025-09-09,False,True,False,True,Drugs
ASP Cares,ASP CARES,1,2021-04-05,2021-04-05,False,True,False,True,Drugs
"ASP Global, LLC.",ASP GLOBAL,1,2025-12-10,2025-12-10,True,False,False,True,Devices
ATLRx Inc.,ATLRX,1,2022-05-04,2022-05-04,False,True,False,True,Drugs
"AVEVA Drug Delivery Systems, Inc.",AVEVA DRUG DELIVERY SYSTEMS,1,2010-05-21,2010-05-21,False,True,False,True,Drugs
"AYGUN SURGICAL INSTRUMENTS CO.,INC.",AYGUN SURGICAL INSTRUMENTS,1,2013-06-27,2013-06-27,True,False,False,True,Devices
"AZ Instrument (Shen Zhen) Co., Ltd.",AZ INSTRUMENT SHEN ZHEN,1,2011-03-04,2011-03-04,True,False,False,True,Devices
Aarti Drugs Limited,AARTI DRUGS,1,2013-08-02,2013-08-02,False,True,False,True,Drugs
Aarti Drugs Ltd,AARTI DRUGS,1,2013-08-02,2013-08-02,False,True,False,True,Drugs
Abbey Color Incorporated,ABBEY COLOR,1,2013-02-19,2013-02-19,False,True,False,True,Drugs
"Abbott Diabetes Care, Inc.",ABBOTT DIABETES CARE,2,2010-07-02,2026-01-23,True,False,False,True,Devices
Abbott Medical,ABBOTT MEDICAL,5,2009-06-26,2017-04-12,True,False,False,True,Devices
"Abbott Molecular, Inc.",ABBOTT MOLECULAR,1,2009-08-12,2009-08-12,True,False,False,True,Devices
Abbott Point of Care Canada Limited,ABBOTT POINT OF CARE CANADA,1,2022-11-08,2022-11-08,True,False,False,True,Devices
"Abbott's Compounding Pharmacy, Inc.",ABBOTT S COMPOUNDING PHARMACY,1,2017-04-04,2017-04-04,False,True,False,True,Drugs
"Abon Biopharm (Hangzhou) Co., Ltd.",ABON BIOPHARM HANGZHOU,1,2010-12-22,2010-12-22,True,False,False,True,Devices
About Mineral,ABOUT MINERAL,1,2021-04-07,2021-04-07,False,True,False,True,Drugs
Abrams Royal Pharmacy,ABRAMS ROYAL PHARMACY,1,2014-07-14,2014-07-14,False,True,False,True,Drugs
"Abryrx, Inc.",ABRYRX,1,2011-01-06,2011-01-06,True,False,False,True,Devices
Absara Cosmetics S.A.P.I DE C.V.,ABSARA COSMETICS S A P I DE C V,1,2021-02-18,2021-02-18,False,True,False,True,Drugs
"Absolute Natural Blenders, Inc.",ABSOLUTE NATURAL BLENDERS,1,2010-09-09,2010-09-09,False,True,False,True,Drugs
"Absolute Pharmacy, LLC",ABSOLUTE PHARMACY,1,2015-04-27,2015-04-27,False,True,False,True,Drugs
Absolutely Natural,ABSOLUTELY NATURAL,1,2025-12-30,2025-12-30,False,True,False,True,Drugs
Accelerated Analytical Laboratories Inc.,ACCELERATED ANALYTICAL LABORATORIES,1,2017-10-18,2017-10-18,False,True,False,True,Drugs
"Access Bio, Inc.",ACCESS BIO,1,2010-12-22,2010-12-22,False,False,True,True,Biologics
"Accra-Pac, Inc.",ACCRA PAC,1,2023-04-20,2023-04-20,False,True,False,True,Drugs
Accu Bio-Chem Laboratories LLC,ACCU BIO CHEM LABORATORIES,1,2022-02-24,2022-02-24,False,True,False,True,Drugs
Accupack Midwest Inc,ACCUPACK MIDWEST,1,2024-08-15,2024-08-15,False,True,False,True,Drugs
Accurate RX Pharmacy Consulting LLC,ACCURATE RX PHARMACY CONSULTING,1,2020-09-02,2020-09-02,False,True,False,True,Drugs
Accurate Set Inc,ACCURATE SET,1,2010-04-26,2010-04-26,True,False,False,True,Devices
Ace Medical,ACE MEDICAL,1,2013-05-01,2013-05-01,True,False,False,True,Devices
"AcelRx Pharmaceuticals, Inc.",ACELRX PHARMACEUTICALS,1,2021-02-11,2021-02-11,False,True,False,True,Drugs
"Acella Pharmaceuticals, LLC",ACELLA PHARMACEUTICALS,1,2020-08-14,2020-08-14,False,True,False,True,Drugs
"Acino Products, LLC",ACINO PRODUCTS,1,2020-02-10,2020-02-10,False,True,False,True,Drugs
Acme Monaco Corporation,ACME MONACO,1,2014-04-28,2014-04-28,True,False,False,True,Devices
Acrostak (Schweiz) AG,ACROSTAK SCHWEIZ,1,2023-10-31,2023-10-31,True,False,False,True,Devices
Actavis Elizabeth LLC,ACTAVIS ELIZABETH,1,2010-02-18,2010-02-18,False,True,False,True,Drugs
"Actavis Laboratories FL, Inc.",ACTAVIS LABORATORIES FL,1,2019-02-01,2019-02-01,False,True,False,True,Drugs
"Activa Brand Products, Inc.",ACTIVA BRAND PRODUCTS,1,2010-08-25,2010-08-25,True,False,False,True,Devices
Active Cosmetics Manufacturing Inc,ACTIVE COSMETICS MANUFACTURING,1,2026-04-22,2026-04-22,False,True,False,True,Drugs
Acu International,ACU,1,2012-09-25,2012-09-25,True,False,False,True,Devices
"Acuity Specialty Products, Inc.",ACUITY SPECIALTY PRODUCTS,1,2025-09-03,2025-09-03,False,True,False,True,Drugs
Acupuncture & Alternative Health Care Inc.,ACUPUNCTURE AND ALTERNATIVE HEALTH CARE,1,2010-04-12,2010-04-12,False,True,False,True,Drugs
Ad-Tech Medical Instrument Corporation,AD TECH MEDICAL INSTRUMENT,2,2012-04-12,2013-11-14,True,False,False,True,Devices
Adam's Secret,ADAM S SECRET,1,2023-01-10,2023-01-10,False,True,False,True,Drugs
AdamsSecret.com,ADAMSSECRET COM,1,2023-01-10,2023-01-10,False,True,False,True,Drugs
"Adamson Analytical Laboratories, Inc.",ADAMSON ANALYTICAL LABORATORIES,2,2016-08-02,2021-08-18,False,True,False,True,Drugs
"Adarsh Daswani, M.D.",ADARSH DASWANI M D,1,2022-12-14,2022-12-14,False,True,False,True,Drugs
"Adnan M. Dahdul, M.D.",ADNAN M DAHDUL M D,1,2026-03-12,2026-03-12,False,False,True,True,Biologics
Adolfo Kaplan Pulmonary & Sleep Center of the Valley,ADOLFO KAPLAN PULMONARY AND SLEEP CENTER OF VALLEY,1,2017-04-20,2017-04-20,False,True,False,True,Drugs
"Advanced Botanical Consulting & Testing, LLC",ADVANCED BOTANICAL CONSULTING AND TESTING,1,2019-06-04,2019-06-04,False,True,False,True,Drugs
"Advanced Cosmetic Research Laboratories, Inc.",ADVANCED COSMETIC RESEARCH LABORATORIES,1,2022-09-28,2022-09-28,False,True,False,True,Drugs
"Advanced Fertility Group, PC",ADVANCED FERTILITY PC,1,2011-06-14,2011-06-14,False,False,True,True,Biologics
"Advanced Infusion Solutions Acquisition, LLC",ADVANCED INFUSION SOLUTIONS ACQUISITION,1,2017-03-01,2017-03-01,False,True,False,True,Drugs
Advanced Interventional Pain Ctr IRB,ADVANCED INTERVENTIONAL PAIN CTR IRB,1,2014-02-07,2014-02-07,True,False,False,True,Devices
"Advanced MicroVas II, LLC",ADVANCED MICROVAS II,1,2014-06-30,2014-06-30,True,False,False,True,Devices
"Advanced Nutriceuticals, LLC",ADVANCED NUTRICEUTICALS,1,2021-11-10,2021-11-10,False,True,False,True,Drugs
"Advanced OrthoPro, Inc.",ADVANCED ORTHOPRO,1,2012-05-18,2012-05-18,True,False,False,True,Devices
"Advanced Pharmaceutical Technology, Inc.",ADVANCED PHARMACEUTICAL TECHNOLOGY,1,2025-03-14,2025-03-14,False,True,False,True,Drugs
"Advanced Physician Solutions, Inc.",ADVANCED PHYSICIAN SOLUTIONS,1,2015-11-03,2015-11-03,False,True,False,True,Drugs
Advanced Renal Technologies Inc,ADVANCED RENAL TECHNOLOGIES,1,2014-05-08,2014-05-08,True,False,False,True,Devices
"Advanced Spine and Pain, LLC",ADVANCED SPINE AND PAIN,1,2019-03-28,2019-03-28,False,True,False,True,Drugs
Advanced Sterilization Products,ADVANCED STERILIZATION PRODUCTS,1,2010-03-12,2010-03-12,True,False,False,True,Devices
"Advanced Testing Laboratory, Inc.",ADVANCED TESTING LABORATORY,1,2010-10-12,2010-10-12,False,True,False,True,Drugs
Advanced Vision Science Inc,ADVANCED VISION SCIENCE,1,2016-04-06,2016-04-06,True,False,False,True,Devices
Advantageous MD Llc,ADVANTAGEOUS MD,1,2011-10-04,2011-10-04,True,False,False,True,Devices
Advocate Health Care IRB,ADVOCATE HEALTH CARE IRB,1,2012-06-01,2012-06-01,False,True,False,True,Drugs
Aeroflex Industria de Aerosol Ltda,AEROFLEX INDUSTRIA DE AEROSOL LTDA,1,2026-05-22,2026-05-22,False,True,False,True,Drugs
Aerolase Corp.,AEROLASE,1,2011-11-16,2011-11-16,True,False,False,True,Devices
"Aerosol Science Laboratories, Inc. dba. ASL Pharmacy",AEROSOL SCIENCE LABORATORIES ASL PHARMACY,1,2008-10-29,2008-10-29,False,True,False,True,Drugs
"Aerosol and Liquid Packaging, Inc.",AEROSOL AND LIQUID PACKAGING,1,2024-07-24,2024-07-24,False,True,False,True,Drugs
"Aerscher Diagnostics, LLC",AERSCHER DIAGNOSTICS,1,2011-06-28,2011-06-28,True,False,False,True,Devices
Aesculap AG,AESCULAP,1,2011-09-26,2011-09-26,True,False,False,True,Devices
Aesthetics Systems Usa Inc,AESTHETICS SYSTEMS,1,2014-05-22,2014-05-22,True,False,False,True,Devices
Age Management Institute Santa Barbara,AGE MANAGEMENT INSTITUTE SANTA BARBARA,1,2022-04-18,2022-04-18,False,True,False,True,Drugs
Agebox,AGEBOX,1,2025-12-19,2025-12-19,False,True,False,True,Drugs
"Ageless Global, LLC",AGELESS GLOBAL,1,2021-03-01,2021-03-01,False,True,False,True,Drugs
"Agena Bioscience, Inc.",AGENA BIOSCIENCE,1,2024-03-21,2024-03-21,True,False,False,True,Devices
"Agnes E. Ubani, MD",AGNES E UBANI MD,1,2013-11-21,2013-11-21,False,True,False,True,Drugs
Agnesian Healthcare IRB,AGNESIAN HEALTHCARE IRB,1,2013-03-25,2013-03-25,False,True,False,True,Drugs
"AgroTerra, Ltd. dba Patriot Hemp Company",AGROTERRA PATRIOT HEMP,1,2020-05-07,2020-05-07,False,True,False,True,Drugs
Agropharma Laboratories Inc.,AGROPHARMA LABORATORIES,1,2022-03-25,2022-03-25,False,True,False,True,Drugs
Aid United International Co. Limited,AID UNITED,1,2011-02-03,2011-02-03,True,False,False,True,Devices
"Aino Co., Ltd. of North China Pharma. Group",AINO OF NORTH CHINA PHARMA,1,2012-08-30,2012-08-30,False,True,False,True,Drugs
"Aionex, Inc.",AIONEX,1,2013-01-09,2013-01-09,True,False,False,True,Devices
Aire-Master of America Inc,AIRE MASTER OF AMERICA,1,2022-05-23,2022-05-23,False,True,False,True,Drugs
"AireRx Healthcare, LLC",AIRERX HEALTHCARE,1,2012-07-30,2012-07-30,True,False,False,True,Devices
"Airpal, Inc.",AIRPAL,1,2011-08-04,2011-08-04,True,False,False,True,Devices
"Aizu Olympus Co., Ltd.",AIZU OLYMPUS,2,2015-08-12,2022-11-02,True,False,False,True,Devices
"Aju Pharm Co., Ltd.",AJU PHARM,1,2025-05-21,2025-05-21,True,False,False,True,Devices
Akan Biosciences Inc,AKAN BIOSCIENCES,1,2024-04-30,2024-04-30,False,False,True,True,Biologics
AkivaMed Inc.,AKIVAMED,1,2020-07-24,2020-07-24,True,False,False,True,Devices
Akron Bee Pollen,AKRON BEE POLLEN,1,2015-05-21,2015-05-21,False,True,False,True,Drugs
Al Natural eShop,AL NATURAL ESHOP,1,2024-08-27,2024-08-27,False,True,False,True,Drugs
Alan Meds,ALAN MEDS,1,2026-02-20,2026-02-20,False,True,False,True,Drugs
Alan Neuromedical Technologies,ALAN NEUROMEDICAL TECHNOLOGIES,1,2011-08-29,2011-08-29,True,False,False,True,Devices
Albahealth LLC,ALBAHEALTH,1,2011-12-27,2011-12-27,True,False,False,True,Devices
Albek De Mexico S.A. De C.V.,ALBEK DE MEXICO S A DE C V,1,2021-03-11,2021-03-11,False,True,False,True,Drugs
Alber GmbH,ALBER,1,2017-09-15,2017-09-15,True,False,False,True,Devices
Albert Browne Ltd.,ALBERT BROWNE,1,2012-05-29,2012-05-29,True,False,False,True,Devices
Alchymars ICM SM Private Limited,ALCHYMARS ICM SM PRIVATE,2,2018-02-16,2026-05-21,False,True,False,True,Drugs
"Alcor Scientific, Inc.",ALCOR SCIENTIFIC,1,2010-01-27,2010-01-27,True,False,False,True,Devices
Alexander Infusion LLC D/B/A Avanti Health Care,ALEXANDER INFUSION D B A AVANTI HEALTH CARE,1,2015-03-27,2015-03-27,False,True,False,True,Drugs
Alexander Neumeister,ALEXANDER NEUMEISTER,1,2016-02-19,2016-02-19,False,True,False,True,Drugs
"Algunas Inc., dba Woodland Hills Compounding Pharmacy",ALGUNAS WOODLAND HILLS COMPOUNDING PHARMACY,1,2017-07-17,2017-07-17,False,True,False,True,Drugs
Ali R Rezai MD,ALI R REZAI MD,1,2008-11-13,2008-11-13,True,False,False,True,Devices
"All About You Medspa, Llc",ALL ABOUT YOU MEDSPA,1,2010-04-05,2010-04-05,False,True,False,True,Drugs
"Allay Pharmaceuticals, LLC",ALLAY PHARMACEUTICALS,1,2021-01-27,2021-01-27,False,True,False,True,Drugs
Allegis Pharmaceutical LLC,ALLEGIS PHARMACEUTICAL,1,2009-11-13,2009-11-13,False,True,False,True,Drugs
Allerair Industries,ALLERAIR INDUSTRIES,1,2009-05-14,2009-05-14,True,False,False,True,Devices
"Allergan Sales, LLC",ALLERGAN SALES,1,2020-05-14,2020-05-14,True,False,False,True,Devices
Allergen Medical,ALLERGEN MEDICAL,1,2015-05-29,2015-05-29,True,False,False,True,Devices
Allergon Inc,ALLERGON,1,2009-08-17,2009-08-17,False,True,False,True,Drugs
Allovate Therapeautics LLC,ALLOVATE THERAPEAUTICS,1,2025-09-30,2025-09-30,False,False,True,True,Biologics
Allure Imports,ALLURE IMPORTS,1,2021-04-07,2021-04-07,False,True,False,True,Drugs
"Allure Labs, LLC",ALLURE LABS,1,2011-05-24,2011-05-24,False,True,False,True,Drugs
Alora Pharmaceuticals,ALORA PHARMACEUTICALS,1,2025-09-09,2025-09-09,False,True,False,True,Drugs
Alpha Arogya India Pvt. Ltd. (The GBS Group),ALPHA AROGYA INDIA GBS,1,2020-04-13,2020-04-13,False,True,False,True,Drugs
Alpha Laboratories Inc.,ALPHA LABORATORIES,1,2011-05-06,2011-05-06,False,True,False,True,Drugs
"Alpha Medical Instruments, LLC",ALPHA MEDICAL INSTRUMENTS,2,2013-06-24,2014-10-07,True,False,False,True,Devices
Alpha-Tek LLC,ALPHA TEK,1,2021-05-27,2021-05-27,False,True,False,True,Drugs
Alseal,ALSEAL,1,2016-11-10,2016-11-10,True,False,False,True,Devices
"Altaire Pharmaceuticals, Inc.",ALTAIRE PHARMACEUTICALS,2,2011-11-16,2020-03-12,False,True,False,True,Drugs
"Altasciences Preclinical Seattle, LLC",ALTASCIENCES PRECLINICAL SEATTLE,1,2010-08-09,2010-08-09,False,True,False,True,Drugs
Alternative Health Distribution LLC,ALTERNATIVE HEALTH DISTRIBUTION,1,2022-11-01,2022-11-01,False,True,False,True,Drugs
"Alternative Health Experts, LLC",ALTERNATIVE HEALTH EXPERTS,1,2020-04-06,2020-04-06,False,True,False,True,Drugs
Alternative Health Supplements,ALTERNATIVE HEALTH SUPPLEMENTS,1,2013-05-02,2013-05-02,False,True,False,True,Drugs
Alternavita,ALTERNAVITA,1,2020-05-26,2020-05-26,False,True,False,True,Drugs
Altru Telehealth,ALTRU TELEHEALTH,1,2026-06-08,2026-06-08,False,True,False,True,Drugs
Alva-Amco Pharmacal Cos Inc.,ALVA AMCO PHARMACAL COS,1,2023-08-09,2023-08-09,False,True,False,True,Drugs
AmLion Toothpaste Mfg Sdn,AMLION TOOTHPASTE MFG SDN,1,2023-11-17,2023-11-17,False,True,False,True,Drugs
Amanta Healthcare Ltd.,AMANTA HEALTHCARE,2,2014-07-08,2014-08-26,False,True,False,True,Drugs
"Amaros Co., Ltd",AMAROS,1,2017-12-13,2017-12-13,False,True,False,True,Drugs
Amasha,AMASHA,1,2010-02-17,2010-02-17,True,False,False,True,Devices
Amazing Meds,AMAZING MEDS,1,2025-09-09,2025-09-09,False,True,False,True,Drugs
"Ambco Electronics, Incorporated",AMBCO ELECTRONICS,1,2014-09-26,2014-09-26,True,False,False,True,Devices
Ambu Inc.,AMBU,1,2023-08-16,2023-08-16,True,False,False,True,Devices
Amcyte Pharma,AMCYTE PHARMA,1,2022-01-03,2022-01-03,False,True,False,True,Drugs
Americall-labs.com VMG Global Inc,AMERICALL LABS COM VMG GLOBAL,1,2009-07-27,2009-07-27,False,True,False,True,Drugs
"American Aesthetics Medical Supply, Inc.",AMERICAN AESTHETICS MEDICAL SUPPLY,1,2013-09-23,2013-09-23,True,False,False,True,Devices
"American Antibiotics, Inc.",AMERICAN ANTIBIOTICS,1,2014-06-02,2014-06-02,False,True,False,True,Drugs
American Association of Acupuncture and Bio-Energetic Medici,AMERICAN ASSOCIATION OF ACUPUNCTURE AND BIO ENERGETIC MEDICI,2,2008-11-13,2011-03-24,True,False,False,True,Devices
"American Behavioral Research Institute, LLC",AMERICAN BEHAVIORAL RESEARCH INSTITUTE,1,2025-04-30,2025-04-30,False,True,False,True,Drugs
"American Chinese Medicine Association, Inc",AMERICAN CHINESE MEDICINE ASSOCIATION,1,2018-06-26,2018-06-26,False,True,False,True,Drugs
American Cleaning Solutions,AMERICAN CLEANING SOLUTIONS,1,2022-09-06,2022-09-06,False,True,False,True,Drugs
American Contract Systems,AMERICAN CONTRACT SYSTEMS,1,2018-11-06,2018-11-06,True,False,False,True,Devices
American Contract Systems Inc,AMERICAN CONTRACT SYSTEMS,2,2011-04-21,2024-11-01,True,False,False,True,Devices
"American Contract Systems, Inc.",AMERICAN CONTRACT SYSTEMS,1,2019-11-09,2019-11-09,True,False,False,True,Devices
"American Fertility Medical Center - Genetic Infertility & Andrology Laboratory, Inc.",AMERICAN FERTILITY MEDICAL CENTER GENETIC INFERTILITY AND ANDROLOGY LABORATORY,1,2020-04-02,2020-04-02,False,False,True,True,Biologics
"American Laboratories Pharma, LLC",AMERICAN LABORATORIES PHARMA,1,2023-03-30,2023-03-30,False,True,False,True,Drugs
American Lifestyle,AMERICAN LIFESTYLE,2,2009-10-27,2015-06-10,False,True,False,True,Drugs; Food/Cosmetics
American Mammographics Inc,AMERICAN MAMMOGRAPHICS,1,2009-03-16,2009-03-16,True,False,False,True,Devices
